ID,Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
223,The Endless,6.5,1,0,0,0,Drama,111
224,Julie & Julia,7,1,0,0,0,Biography,123
225,The Game Changers,7.9,1,0,0,0,Documentary,108
226,Under the Shadow,6.9,1,0,0,0,Drama,84
227,Angel Has Fallen,6.4,1,0,0,0,Action,121
228,Kon-Tiki,7.2,1,0,1,0,Adventure,118
229,Mary Poppins Returns,6.7,1,0,0,0,Comedy,130
230,Kajaki,7.1,1,0,0,0,Adventure,108
231,The Fear of 13,7.7,1,0,0,0,Documentary,96
232,The Night Comes for Us,7,1,0,0,0,Action,121
233,Blood Father,6.4,1,0,0,0,Action,88
234,Stree,7.6,1,0,0,0,Comedy,128
235,American Factory,7.4,1,0,0,0,Documentary,110
236,Code 8,6.1,1,0,0,0,Action,98
237,Salt,6.4,1,0,0,0,Action,100
238,The Hundred-Foot Journey,7.3,1,0,0,0,Comedy,122
239,The Distinguished Citizen,7.5,1,0,0,0,Comedy,118
240,Scooby-Doo on Zombie Island,7.8,1,0,0,0,Animation,77
241,Chasing Coral,8.1,1,0,0,0,Documentary,93
242,The End of the Tour,7.3,1,0,0,0,Biography,106
243,The One I Love,7.1,1,0,0,0,Comedy,91
244,Underworld,7,1,0,0,0,Action,121
245,The Death of Mr. Lazarescu,7.9,1,0,0,0,Comedy,153
246,Madagascar: Escape 2 Africa,6.6,1,0,0,0,Animation,89
247,The Wolf's Call,6.9,1,0,0,0,Action,115
248,What Happened to Monday,6.9,1,0,0,0,Action,123
249,The Willoughbys,6.4,1,0,0,0,Animation,90
250,The White Helmets,7.5,1,0,0,0,Documentary,41
251,Suburra,7.4,1,0,0,0,Action,50
252,The Matrix Revolutions,6.8,1,0,0,0,Action,129
253,Richard Pryor: Live in Concert,8.2,1,0,0,0,Comedy,78
254,Austin Powers: The Spy Who Shagged Me,6.6,1,0,0,0,Action,95
255,Get Him to the Greek,6.4,1,0,0,0,Comedy,109
256,Slow West,6.9,1,0,0,0,Action,84
257,The Meyerowitz Stories (New and Selected),6.9,1,0,0,0,Comedy,112
258,The Battered Bastards of Baseball,8,1,0,0,0,Documentary,80
259,The Perfection,6.1,1,0,0,0,Drama,90
260,Ip Man 3,7.1,1,0,0,0,Action,105
261,Sinister,6.8,1,0,0,0,Horror,110
262,Rush: Beyond the Lighted Stage,8.4,1,0,0,0,Documentary,107
263,20 Feet from Stardom,7.4,1,0,0,0,Documentary,91
264,The Stanford Prison Experiment,6.9,1,0,0,0,Biography,122
265,My Week with Marilyn,7,1,0,0,0,Biography,99
266,Catfish,7.1,1,0,0,0,Documentary,87
267,Secret Superstar,7.9,1,0,0,0,Drama,150
268,Private Life,7.2,1,0,0,0,Comedy,123
269,Jarhead,7,1,0,0,0,Action,125
270,Yes Man,6.8,1,0,0,0,Comedy,104
271,For the Love of Spock,7.6,1,0,0,0,Documentary,111
272,Goon,6.8,1,0,0,0,Comedy,92
273,Ace Ventura: Pet Detective,6.9,1,0,0,0,Comedy,86
274,Inequality for All,8,1,0,0,0,Documentary,89
275,Olympus Has Fallen,6.5,1,0,0,0,Action,119
276,Dave Chappelle: Sticks & Stones,8.5,1,0,0,0,Comedy,65
277,John Mulaney: Kid Gorgeous at Radio City,7.9,1,0,0,0,Comedy,65
278,La Bamba,6.9,1,0,0,0,Biography,108
279,Public Enemies,7,1,0,0,0,Biography,140
280,Supersonic,7.9,1,0,0,0,Documentary,122
281,The Edge of Democracy,7.1,1,0,0,0,Documentary,121
282,The Polar Express,6.6,1,0,0,0,Animation,100
283,Under the Skin,6.3,1,0,0,0,Drama,108
284,Crip Camp: A Disability Revolution,7.8,1,0,0,0,Documentary,106
285,Tell Me Who I Am,7.6,1,0,0,0,Documentary,85
286,Hey Arnold! The Jungle Movie,7.6,1,1,0,0,Animation,81
287,Zack and Miri Make a Porno,6.5,1,0,0,0,Comedy,101
288,The Score,6.8,1,0,1,0,Crime,124
289,Hamburger Hill,6.7,1,0,1,0,Action,110
290,9,7.1,1,0,0,0,Animation,79
291,Undefeated,7.7,1,0,0,0,Documentary,113
292,Team Foxcatcher,7.3,1,0,0,0,Documentary,90
293,A Shaun the Sheep Movie: Farmageddon,6.9,1,0,0,0,Animation,86
294,April and the Extraordinary World,7.3,1,0,0,0,Animation,105
